2022-02-07 09:30:45	    35153.58984375
2022-02-07 09:31:22	    35124.30078125
2022-02-07 09:31:58	    35087.69921875
2022-02-07 09:32:34	    35099.9296875
2022-02-07 09:33:11	    35103.30078125
2022-02-07 09:33:48	    35078.8203125
2022-02-07 09:34:25	    35061.69921875
2022-02-07 09:34:39		35059.328125
2022-02-07 09:35:15		35062.3515625
2022-02-07 09:35:52		35076.16015625
2022-02-07 09:36:28		35074.58984375
2022-02-07 09:37:05		35069.2109375
2022-02-07 09:37:41		35063.30859375
2022-02-07 09:38:18		35072.58984375
2022-02-07 09:38:55		35087.55078125
2022-02-07 09:39:31		35082.1484375
2022-02-07 09:40:08		35061.94140625
2022-02-07 09:40:45		35048.98046875
2022-02-07 09:41:22		35056.8984375
2022-02-07 09:41:58		35071.390625
2022-02-07 09:46:14		35049.359375
2022-02-07 09:46:51		35042.44140625
2022-02-07 09:47:29		35019.3984375
2022-02-07 09:48:06		35010.75
2022-02-07 09:48:42		35010.2890625
2022-02-07 09:49:19		35013.80859375
2022-02-07 09:49:55		35003.98046875
2022-02-07 09:50:38		35040.05078125
2022-02-07 09:51:14		35051.08984375
2022-02-07 09:51:51		35073.3515625
2022-02-07 09:52:27		35090.58984375
2022-02-07 09:53:03		35101.78125
2022-02-07 09:53:40		35070.421875
2022-02-07 09:54:16		35086.87109375
2022-02-07 09:54:53		35082.23828125
2022-02-07 09:57:31		35073.2109375
2022-02-07 09:58:08		35021.6015625
2022-02-07 09:58:45		35044.71875
2022-02-07 09:59:21		35060.66015625
2022-02-07 09:59:58		35069.76171875
2022-02-07 10:00:34		35081.01171875
2022-02-07 10:01:10		35066.12890625
2022-02-07 10:01:48		35082.96875
2022-02-07 10:02:25		35083.4609375
2022-02-07 10:03:01		35074.859375
2022-02-07 10:03:38		35083.171875
2022-02-07 10:04:14		35077.51171875
2022-02-07 10:04:51		35080.80078125
2022-02-07 10:05:27		35096.171875
2022-02-07 10:06:04		35112.2890625
2022-02-07 10:06:40		35100.6015625
2022-02-07 10:07:17		35106.19921875
2022-02-07 10:07:54		35081.80078125
2022-02-07 10:08:30		35086.421875
2022-02-07 10:09:06		35102.3984375
2022-02-07 10:09:43		35095.671875
2022-02-07 10:10:20		35101.69921875
2022-02-07 10:10:56		35092.30078125
2022-02-07 10:11:32		35055.48828125
2022-02-07 10:12:09		35060.94140625
2022-02-07 10:12:45		35035.8984375
2022-02-07 10:13:22		35042.8203125
2022-02-07 10:13:58		35044.69140625
2022-02-07 10:14:35		35039.37890625
2022-02-07 10:15:12		35042.80859375
2022-02-07 10:15:48		35049.2109375
2022-02-07 10:16:26		35047.5
2022-02-07 10:17:02		35060.76953125
2022-02-07 10:17:39		35056.80859375
2022-02-07 10:18:15		35055.140625
2022-02-07 10:18:52		35048.55859375
2022-02-07 10:19:28		35050.37890625
2022-02-07 10:20:04		35040.69921875
2022-02-07 10:20:40		35045.8984375
2022-02-07 10:21:17		35059.078125
2022-02-07 10:21:54		35071.37109375
2022-02-07 10:22:30		35080.37109375
2022-02-07 10:23:07		35093.01953125
2022-02-07 10:23:43		35110.03125
2022-02-07 10:24:20		35119.80078125
2022-02-07 10:24:56		35118.76171875
2022-02-07 10:25:34		35118.66015625
2022-02-07 10:26:12		35129.08984375
2022-02-07 10:26:49		35127.9609375
2022-02-07 10:27:25		35126.69921875
2022-02-07 10:28:02		35130.26953125
2022-02-07 10:28:38		35136.62109375
2022-02-07 10:29:15		35137.19921875
2022-02-07 10:29:51		35144.37890625
2022-02-07 10:30:27		35125.55078125
2022-02-07 10:31:05		35127.8984375
2022-02-07 10:31:42		35135.8515625
2022-02-07 10:32:19		35140.421875
2022-02-07 10:32:56		35147.69921875
2022-02-07 10:33:32		35187.44140625
2022-02-07 10:34:09		35203.359375
2022-02-07 10:34:45		35217.87109375
2022-02-07 10:35:23		35218.94921875
2022-02-07 10:36:00		35208.23046875
2022-02-07 10:36:36		35207.44140625
2022-02-07 10:37:13		35207.91015625
2022-02-07 10:37:49		35216.4609375
2022-02-07 10:38:25		35214.1484375
2022-02-07 10:39:02		35216.390625
2022-02-07 10:39:38		35202.05859375
2022-02-07 10:40:14		35202.69140625
2022-02-07 10:40:51		35180.55078125
2022-02-07 10:41:28		35145.78125
2022-02-07 10:42:04		35140.94140625
2022-02-07 10:42:41		35161.859375
2022-02-07 10:43:17		35168.5703125
2022-02-07 10:43:53		35166.78125
2022-02-07 10:44:30		35158.69921875
2022-02-07 10:45:06		35169.890625
2022-02-07 10:45:42		35172.44140625
2022-02-07 10:46:19		35177.51953125
2022-02-07 10:46:55		35170.3984375
2022-02-07 10:47:32		35176.76953125
2022-02-07 10:48:08		35174.5
2022-02-07 10:48:45		35162.5703125
2022-02-07 10:49:21		35164.55859375
2022-02-07 10:49:58		35168.921875
2022-02-07 10:50:34		35172.3203125
2022-02-07 10:51:14		35150.37109375
2022-02-07 10:51:51		35160.73828125
2022-02-07 10:52:27		35177.30859375
2022-02-07 10:53:03		35175.671875
2022-02-07 10:53:39		35168.12890625
2022-02-07 10:54:16		35167.53125
2022-02-07 10:54:53		35170.80859375
2022-02-07 10:55:29		35158.53125
2022-02-07 10:56:05		35159.76171875
2022-02-07 10:56:42		35164.66015625
2022-02-07 10:57:18		35169.69140625
2022-02-07 10:57:54		35167.609375
2022-02-07 10:58:31		35164.0703125
2022-02-07 10:59:10		35161.55078125
2022-02-07 10:59:47		35168.26171875
2022-02-07 11:00:23		35162.3203125
2022-02-07 11:00:59		35172.55859375
2022-02-07 11:01:36		35171.62890625
2022-02-07 11:02:12		35161.78125
2022-02-07 11:02:49		35160.8984375
2022-02-07 11:03:26		35160.08984375
2022-02-07 11:04:02		35151.94921875
2022-02-07 11:04:39		35121.76953125
2022-02-07 11:05:15		35134.62109375
2022-02-07 11:05:52		35131.30078125
2022-02-07 11:06:28		35141.8515625
2022-02-07 11:07:05		35143.73046875
2022-02-07 11:07:41		35143.1796875
2022-02-07 11:08:18		35148.6796875
2022-02-07 11:08:55		35127.30859375
2022-02-07 11:09:31		35099.9609375
2022-02-07 11:10:08		35104.7890625
2022-02-07 11:10:44		35114.4296875
2022-02-07 11:11:21		35125.80078125
2022-02-07 11:11:57		35125.94140625
2022-02-07 11:12:34		35120.16015625
2022-02-07 11:13:10		35119.94140625
2022-02-07 11:13:46		35119.03125
2022-02-07 11:14:23		35127.51171875
2022-02-07 11:14:59		35126.7109375
2022-02-07 11:15:36		35125.390625
2022-02-07 11:16:14		35118.91015625
2022-02-07 11:16:51		35123.26171875
2022-02-07 11:17:29		35123.26171875
2022-02-07 11:18:05		35123.26171875
2022-02-07 11:18:43		35121.28125
2022-02-07 11:19:25		35139.30078125
2022-02-07 11:20:01		35145.7109375
2022-02-07 11:20:38		35146.05859375
2022-02-07 11:21:14		35139.53125
2022-02-07 11:21:51		35144.8984375
2022-02-07 11:22:29		35148.01171875
2022-02-07 11:23:06		35150.96875
2022-02-07 11:23:43		35138.28125
2022-02-07 11:24:19		35149.94921875
2022-02-07 11:24:56		35154.890625
2022-02-07 11:25:35		35157.171875
2022-02-07 11:26:14		35170.9296875
2022-02-07 11:26:51		35182.921875
2022-02-07 11:27:28		35176.62890625
2022-02-07 11:28:05		35175.2890625
2022-02-07 11:28:42		35169.44140625
2022-02-07 11:29:18		35163.3203125
2022-02-07 11:29:55		35158.25
2022-02-07 11:30:31		35147.26171875
2022-02-07 11:31:08		35154.05859375
2022-02-07 11:31:45		35152.19921875
2022-02-07 11:32:21		35148.28125
2022-02-07 11:32:58		35122.03125
2022-02-07 11:33:35		35119.53125
2022-02-07 11:34:12		35117.8203125
2022-02-07 11:34:48		35119.83984375
2022-02-07 11:35:25		35115.30078125
2022-02-07 11:36:02		35129.16015625
2022-02-07 11:36:38		35126.28125
2022-02-07 11:37:15		35132.8515625
2022-02-07 11:37:51		35130.9609375
2022-02-07 11:38:28		35123.03125
2022-02-07 11:39:05		35083.640625
2022-02-07 11:39:41		35055.26953125
2022-02-07 11:40:18		35055.16015625
2022-02-07 11:40:54		35053.3984375
2022-02-07 11:41:31		35055.37890625
2022-02-07 11:42:07		35059.1015625
2022-02-07 11:42:44		35059.28125
2022-02-07 11:43:21		35056.921875
2022-02-07 11:43:57		35040.0703125
2022-02-07 11:44:35		35025.6796875
2022-02-07 11:45:11		35034.140625
2022-02-07 11:45:50		35054.58984375
2022-02-07 11:46:26		35047.12890625
2022-02-07 11:47:04		35050.6484375
2022-02-07 11:47:40		35054.859375
2022-02-07 11:48:17		35055.25
2022-02-07 11:48:54		35047.4296875
2022-02-07 11:49:30		35068.44140625
2022-02-07 11:50:10		35077.23828125
2022-02-07 11:50:46		35080.55859375
2022-02-07 11:51:22		35082.421875
2022-02-07 11:52:00		35076.21875
2022-02-07 11:52:37		35075.94921875
2022-02-07 11:53:14		35077.46875
2022-02-07 11:53:51		35057.0703125
2022-02-07 11:54:28		35061.0390625
2022-02-07 11:55:06		35070.5703125
2022-02-07 11:55:43		35072.0
2022-02-07 11:56:19		35076.8984375
2022-02-07 11:56:56		35082.890625
2022-02-07 11:57:33		35098.9296875
2022-02-07 11:58:10		35100.890625
2022-02-07 11:58:47		35106.23046875
2022-02-07 11:59:24		35111.328125
2022-02-07 12:00:01		35104.98828125
2022-02-07 12:00:37		35085.08984375
2022-02-07 12:01:15		35074.078125
2022-02-07 12:01:52		35065.9609375
2022-02-07 12:02:28		35069.01171875
2022-02-07 12:03:07		35070.73046875
2022-02-07 12:03:44		35076.01171875
2022-02-07 12:04:20		35085.08984375
2022-02-07 12:04:57		35087.33984375
2022-02-07 12:05:34		35075.0390625
2022-02-07 12:06:13		35070.9296875
2022-02-07 12:06:50		35068.9609375
2022-02-07 12:07:27		35065.1015625
