2022-02-07 09:30:45	    142.8000030517578
2022-02-07 09:31:22	    143.25
2022-02-07 09:31:58	    143.4199981689453
2022-02-07 09:32:34	    143.72059631347656
2022-02-07 09:33:12	    143.58999633789062
2022-02-07 09:33:48	    143.6300048828125
2022-02-07 09:34:25	    143.5
2022-02-07 09:34:39		143.36000061035156
2022-02-07 09:35:15		143.5800018310547
2022-02-07 09:35:52		143.7449951171875
2022-02-07 09:36:28		143.8800048828125
2022-02-07 09:37:05		143.8000030517578
2022-02-07 09:37:41		143.72000122070312
2022-02-07 09:38:18		143.77999877929688
2022-02-07 09:38:55		143.97999572753906
2022-02-07 09:39:31		144.0399932861328
2022-02-07 09:40:08		143.78500366210938
2022-02-07 09:40:45		143.5800018310547
2022-02-07 09:41:22		143.5800018310547
2022-02-07 09:41:58		143.49000549316406
2022-02-07 09:42:34		143.58999633789062
2022-02-07 09:43:11		143.5449981689453
2022-02-07 09:46:14		143.72000122070312
2022-02-07 09:46:51		143.72000122070312
2022-02-07 09:47:29		143.6300048828125
2022-02-07 09:48:06		143.5
2022-02-07 09:48:42		143.4499969482422
2022-02-07 09:49:19		143.6999969482422
2022-02-07 09:49:55		143.30499267578125
2022-02-07 09:50:38		143.19020080566406
2022-02-07 09:51:14		143.25999450683594
2022-02-07 09:51:51		143.22000122070312
2022-02-07 09:52:27		143.3618927001953
2022-02-07 09:53:03		143.52000427246094
2022-02-07 09:53:40		143.3249969482422
2022-02-07 09:54:16		143.32000732421875
2022-02-07 09:54:53		143.33999633789062
2022-02-07 09:57:31		143.42999267578125
2022-02-07 09:58:08		143.27000427246094
2022-02-07 09:58:45		143.25999450683594
2022-02-07 09:59:21		143.375
2022-02-07 09:59:58		143.42999267578125
2022-02-07 10:00:34		143.36000061035156
2022-02-07 10:01:10		143.22000122070312
2022-02-07 10:01:48		143.28500366210938
2022-02-07 10:02:25		143.3000030517578
2022-02-07 10:03:01		143.17999267578125
2022-02-07 10:03:38		143.1750030517578
2022-02-07 10:04:14		143.00999450683594
2022-02-07 10:04:51		143.05999755859375
2022-02-07 10:05:27		143.07000732421875
2022-02-07 10:06:04		143.10000610351562
2022-02-07 10:06:40		142.99000549316406
2022-02-07 10:07:17		143.00999450683594
2022-02-07 10:07:54		142.85000610351562
2022-02-07 10:08:30		142.85000610351562
2022-02-07 10:09:06		142.97000122070312
2022-02-07 10:09:43		142.97999572753906
2022-02-07 10:10:20		142.8699951171875
2022-02-07 10:10:56		142.82000732421875
2022-02-07 10:11:32		142.5800018310547
2022-02-07 10:12:09		142.5850067138672
2022-02-07 10:12:45		142.35000610351562
2022-02-07 10:13:22		142.3699951171875
2022-02-07 10:13:58		142.302001953125
2022-02-07 10:14:35		142.1300048828125
2022-02-07 10:15:12		142.1999969482422
2022-02-07 10:15:48		142.25
2022-02-07 10:16:26		142.35000610351562
2022-02-07 10:17:02		142.27499389648438
2022-02-07 10:17:39		142.1199951171875
2022-02-07 10:18:15		142.11000061035156
2022-02-07 10:18:52		142.08729553222656
2022-02-07 10:19:28		142.22940063476562
2022-02-07 10:20:04		142.1999969482422
2022-02-07 10:20:40		142.27999877929688
2022-02-07 10:21:17		142.49000549316406
2022-02-07 10:21:54		142.64500427246094
2022-02-07 10:22:30		142.6199951171875
2022-02-07 10:23:07		142.64500427246094
2022-02-07 10:23:43		142.66000366210938
2022-02-07 10:24:20		142.77999877929688
2022-02-07 10:24:56		142.875
2022-02-07 10:25:34		142.67999267578125
2022-02-07 10:26:12		142.6999969482422
2022-02-07 10:26:49		142.78500366210938
2022-02-07 10:27:25		142.82000732421875
2022-02-07 10:28:02		142.80999755859375
2022-02-07 10:28:38		142.8800048828125
2022-02-07 10:29:15		142.92999267578125
2022-02-07 10:29:51		142.88499450683594
2022-02-07 10:30:27		142.69000244140625
2022-02-07 10:31:05		142.64999389648438
2022-02-07 10:31:42		142.5500030517578
2022-02-07 10:32:19		142.6199951171875
2022-02-07 10:32:56		142.6300048828125
2022-02-07 10:33:32		142.66000366210938
2022-02-07 10:34:09		142.7501983642578
2022-02-07 10:34:45		142.7899932861328
2022-02-07 10:35:23		142.75999450683594
2022-02-07 10:36:00		142.64500427246094
2022-02-07 10:36:36		142.84300231933594
2022-02-07 10:37:13		142.89559936523438
2022-02-07 10:37:49		142.92999267578125
2022-02-07 10:38:25		142.97000122070312
2022-02-07 10:39:02		143.05999755859375
2022-02-07 10:39:38		142.97000122070312
2022-02-07 10:40:14		143.0
2022-02-07 10:40:51		142.75
2022-02-07 10:41:28		142.6750030517578
2022-02-07 10:42:04		142.64990234375
2022-02-07 10:42:41		142.71499633789062
2022-02-07 10:43:17		142.73500061035156
2022-02-07 10:43:53		142.69000244140625
2022-02-07 10:44:30		142.67999267578125
2022-02-07 10:45:06		142.77999877929688
2022-02-07 10:45:42		142.7100067138672
2022-02-07 10:46:19		142.86000061035156
2022-02-07 10:46:55		142.86000061035156
2022-02-07 10:47:32		142.8300018310547
2022-02-07 10:48:08		142.63999938964844
2022-02-07 10:48:45		142.5399932861328
2022-02-07 10:49:21		142.5
2022-02-07 10:49:58		142.55740356445312
2022-02-07 10:50:34		142.69000244140625
2022-02-07 10:51:14		142.56500244140625
2022-02-07 10:51:51		142.60000610351562
2022-02-07 10:52:27		142.77000427246094
2022-02-07 10:53:03		142.78500366210938
2022-02-07 10:53:39		142.78500366210938
2022-02-07 10:54:16		142.72999572753906
2022-02-07 10:54:53		142.7100067138672
2022-02-07 10:55:29		142.44500732421875
2022-02-07 10:56:05		142.4499969482422
2022-02-07 10:56:42		142.39999389648438
2022-02-07 10:57:18		142.53500366210938
2022-02-07 10:57:54		142.50999450683594
2022-02-07 10:58:31		142.50999450683594
2022-02-07 10:59:10		142.49899291992188
2022-02-07 10:59:47		142.60899353027344
2022-02-07 11:00:23		142.49000549316406
2022-02-07 11:00:59		142.50999450683594
2022-02-07 11:01:36		142.6584930419922
2022-02-07 11:02:12		142.57000732421875
2022-02-07 11:02:49		142.5500030517578
2022-02-07 11:03:26		142.50999450683594
2022-02-07 11:04:02		142.35000610351562
2022-02-07 11:04:39		142.2100067138672
2022-02-07 11:05:15		142.24000549316406
2022-02-07 11:05:52		142.1649932861328
2022-02-07 11:06:28		142.3699951171875
2022-02-07 11:07:05		142.4550018310547
2022-02-07 11:07:41		142.48899841308594
2022-02-07 11:08:18		142.63999938964844
2022-02-07 11:08:55		142.39999389648438
2022-02-07 11:09:31		142.2449951171875
2022-02-07 11:10:08		142.15789794921875
2022-02-07 11:10:44		142.1300048828125
2022-02-07 11:11:21		142.3000030517578
2022-02-07 11:11:57		142.2592010498047
2022-02-07 11:12:34		142.24000549316406
2022-02-07 11:13:10		142.2100067138672
2022-02-07 11:13:46		142.35499572753906
2022-02-07 11:14:23		142.5
2022-02-07 11:14:59		142.55499267578125
2022-02-07 11:15:36		142.5399932861328
2022-02-07 11:16:14		142.5399932861328
2022-02-07 11:16:51		142.57000732421875
2022-02-07 11:17:29		142.57000732421875
2022-02-07 11:18:05		142.57000732421875
2022-02-07 11:18:43		142.4149932861328
2022-02-07 11:19:25		142.57000732421875
2022-02-07 11:20:01		142.63999938964844
2022-02-07 11:20:38		142.69000244140625
2022-02-07 11:21:14		142.5800018310547
2022-02-07 11:21:51		142.63999938964844
2022-02-07 11:22:29		142.62820434570312
2022-02-07 11:23:06		142.6199951171875
2022-02-07 11:23:43		142.5500946044922
2022-02-07 11:24:19		142.5850067138672
2022-02-07 11:24:56		142.60000610351562
2022-02-07 11:25:35		142.69000244140625
2022-02-07 11:26:14		142.79930114746094
2022-02-07 11:26:51		142.86000061035156
2022-02-07 11:27:28		142.89999389648438
2022-02-07 11:28:05		142.8000030517578
2022-02-07 11:28:42		142.75
2022-02-07 11:29:18		142.69000244140625
2022-02-07 11:29:55		142.75
2022-02-07 11:30:31		142.72999572753906
2022-02-07 11:31:08		142.77499389648438
2022-02-07 11:31:45		142.66990661621094
2022-02-07 11:32:21		142.63999938964844
2022-02-07 11:32:58		142.57000732421875
2022-02-07 11:33:35		142.5449981689453
2022-02-07 11:34:12		142.51100158691406
2022-02-07 11:34:48		142.52310180664062
2022-02-07 11:35:25		142.50999450683594
2022-02-07 11:36:02		142.55999755859375
2022-02-07 11:36:38		142.5
2022-02-07 11:37:15		142.58999633789062
2022-02-07 11:37:51		142.59100341796875
2022-02-07 11:38:28		142.42999267578125
2022-02-07 11:39:05		142.10000610351562
2022-02-07 11:39:41		142.02499389648438
2022-02-07 11:40:18		141.98800659179688
2022-02-07 11:40:54		142.00999450683594
2022-02-07 11:41:31		142.05999755859375
2022-02-07 11:42:07		142.27000427246094
2022-02-07 11:42:44		142.1649932861328
2022-02-07 11:43:21		142.0850067138672
2022-02-07 11:43:57		142.00999450683594
2022-02-07 11:44:35		142.0290985107422
2022-02-07 11:45:11		142.00999450683594
2022-02-07 11:45:50		142.1750030517578
2022-02-07 11:46:26		142.06500244140625
2022-02-07 11:47:04		142.11000061035156
2022-02-07 11:47:40		142.0998992919922
2022-02-07 11:48:17		142.05999755859375
2022-02-07 11:48:54		142.01499938964844
2022-02-07 11:49:30		142.18099975585938
2022-02-07 11:50:10		142.08999633789062
2022-02-07 11:50:46		142.08999633789062
2022-02-07 11:51:22		142.1999053955078
2022-02-07 11:52:00		142.14999389648438
2022-02-07 11:52:37		142.11000061035156
2022-02-07 11:53:14		142.11000061035156
2022-02-07 11:53:51		141.97999572753906
2022-02-07 11:54:28		142.10989379882812
2022-02-07 11:55:06		142.1699981689453
2022-02-07 11:55:43		142.14999389648438
2022-02-07 11:56:19		142.2510986328125
2022-02-07 11:56:56		142.17999267578125
2022-02-07 11:57:33		142.24000549316406
2022-02-07 11:58:10		142.36000061035156
2022-02-07 11:58:47		142.42999267578125
2022-02-07 11:59:24		142.47999572753906
2022-02-07 12:00:01		142.5
2022-02-07 12:00:37		142.4550018310547
2022-02-07 12:01:15		142.2100067138672
2022-02-07 12:01:51		142.4199981689453
2022-02-07 12:02:28		142.41000366210938
2022-02-07 12:03:07		142.39999389648438
2022-02-07 12:03:44		142.48980712890625
2022-02-07 12:04:20		142.49000549316406
2022-02-07 12:04:57		142.5500030517578
2022-02-07 12:05:34		142.44000244140625
2022-02-07 12:06:13		142.43499755859375
2022-02-07 12:06:50		142.4199981689453
2022-02-07 12:07:27		142.375
2022-02-07 12:08:04		142.36500549316406
2022-02-07 12:08:40		142.35000610351562
2022-02-07 12:09:17		142.3800048828125
2022-02-07 12:09:54		142.35000610351562
2022-02-07 12:10:31		142.41000366210938
2022-02-07 12:11:07		142.39500427246094
2022-02-07 12:11:45		142.39999389648438
2022-02-07 12:12:22		142.34500122070312
2022-02-07 12:12:58		142.38999938964844
2022-02-07 12:13:35		142.5449981689453
2022-02-07 12:14:12		142.52999877929688
2022-02-07 12:14:50		142.4949951171875
2022-02-07 12:15:27		142.46499633789062
2022-02-07 12:16:05		142.50999450683594
2022-02-07 12:16:42		142.55999755859375
2022-02-07 12:17:26		142.63999938964844
2022-02-07 12:18:03		142.5850067138672
2022-02-07 12:18:40		142.59080505371094
2022-02-07 12:19:18		142.60000610351562
2022-02-07 12:19:55		142.57000732421875
2022-02-07 12:20:35		142.57730102539062
2022-02-07 12:21:13		142.63999938964844
2022-02-07 12:21:51		142.60000610351562
2022-02-07 12:22:33		142.60000610351562
2022-02-07 12:23:10		142.57000732421875
2022-02-07 12:23:49		142.55999755859375
2022-02-07 12:24:26		142.5500030517578
2022-02-07 12:25:03		142.4550018310547
2022-02-07 12:25:40		142.44000244140625
2022-02-07 12:26:19		142.50999450683594
2022-02-07 12:26:56		142.43499755859375
2022-02-07 12:27:33		142.3300018310547
2022-02-07 12:28:10		142.39500427246094
2022-02-07 12:28:47		142.35499572753906
2022-02-07 12:29:25		142.37350463867188
2022-02-07 12:30:01		142.39999389648438
2022-02-07 12:30:37		142.25
2022-02-07 12:31:14		142.3800048828125
2022-02-07 12:31:51		142.4550018310547
2022-02-07 12:32:27		142.38999938964844
2022-02-07 12:33:04		142.4600067138672
2022-02-07 12:33:41		142.27000427246094
2022-02-07 12:34:18		142.2899932861328
2022-02-07 12:34:54		142.25
2022-02-07 12:35:32		142.27999877929688
2022-02-07 12:36:08		142.3000030517578
2022-02-07 12:36:45		142.10000610351562
2022-02-07 12:37:21		141.98500061035156
2022-02-07 12:37:58		141.9741973876953
2022-02-07 12:38:35		141.89999389648438
2022-02-07 12:39:16		141.77999877929688
2022-02-07 12:39:54		141.7449951171875
2022-02-07 12:40:31		141.9550018310547
2022-02-07 12:41:08		142.0
2022-02-07 12:41:45		141.9600067138672
2022-02-07 12:42:21		142.0
2022-02-07 12:42:58		141.97999572753906
2022-02-07 12:43:35		141.9949951171875
2022-02-07 12:44:13		141.92999267578125
2022-02-07 12:44:50		141.92529296875
2022-02-07 12:45:27		141.8699951171875
2022-02-07 12:46:04		141.86500549316406
2022-02-07 12:46:41		141.8800048828125
2022-02-07 12:47:17		141.98629760742188
2022-02-07 12:47:53		141.89500427246094
2022-02-07 12:48:30		141.82179260253906
2022-02-07 12:49:07		141.69500732421875
2022-02-07 12:49:43		141.74000549316406
2022-02-07 12:50:20		141.77000427246094
2022-02-07 12:50:57		141.77000427246094
2022-02-07 12:51:33		141.76170349121094
2022-02-07 12:52:11		141.85899353027344
2022-02-07 12:52:47		141.83999633789062
2022-02-07 12:53:23		141.8300018310547
2022-02-07 12:54:00		141.88499450683594
2022-02-07 12:54:38		141.85000610351562
2022-02-07 12:55:15		141.86000061035156
2022-02-07 12:55:51		141.8699951171875
2022-02-07 12:56:28		141.8300018310547
2022-02-07 12:57:05		141.75
2022-02-07 12:57:46		141.7899932861328
2022-02-07 12:58:23		141.7261962890625
2022-02-07 12:59:00		141.77999877929688
2022-02-07 12:59:37		141.8800048828125
2022-02-07 13:00:16		141.86000061035156
2022-02-07 13:00:53		141.7899932861328
2022-02-07 13:01:31		141.77999877929688
2022-02-07 13:02:08		141.83999633789062
2022-02-07 13:02:47		141.81500244140625
2022-02-07 13:03:24		141.8125
2022-02-07 13:04:01		141.69000244140625
2022-02-07 13:04:38		141.6300048828125
2022-02-07 13:05:16		141.6699981689453
2022-02-07 13:05:54		141.84190368652344
2022-02-07 13:06:32		141.91000366210938
2022-02-07 13:07:11		141.99000549316406
2022-02-07 13:07:49		142.03250122070312
2022-02-07 13:08:26		142.02499389648438
2022-02-07 13:09:05		142.0500030517578
2022-02-07 13:09:42		141.97030639648438
2022-02-07 13:10:19		142.02000427246094
2022-02-07 13:10:56		142.02000427246094
2022-02-07 13:11:34		142.25
2022-02-07 13:12:12		142.31500244140625
2022-02-07 13:12:48		142.25999450683594
2022-02-07 13:13:25		142.1199951171875
2022-02-07 13:14:01		142.13499450683594
2022-02-07 13:14:38		142.14999389648438
2022-02-07 13:15:14		142.10000610351562
2022-02-07 13:15:51		142.10679626464844
2022-02-07 13:16:27		142.15499877929688
2022-02-07 13:17:05		142.10000610351562
2022-02-07 13:17:41		142.11709594726562
2022-02-07 13:18:18		142.13259887695312
2022-02-07 13:18:55		142.1300048828125
2022-02-07 13:19:33		142.1060028076172
2022-02-07 13:20:12		142.04660034179688
2022-02-07 13:20:50		142.07000732421875
2022-02-07 13:21:28		142.04330444335938
2022-02-07 13:22:05		142.02499389648438
2022-02-07 13:22:44		142.0399932861328
2022-02-07 13:23:22		142.14990234375
2022-02-07 13:23:59		141.99000549316406
2022-02-07 13:24:38		141.9799041748047
2022-02-07 13:25:15		142.0
2022-02-07 13:25:54		141.98190307617188
2022-02-07 13:26:31		142.0
2022-02-07 13:27:10		141.9499969482422
2022-02-07 13:27:48		141.99000549316406
2022-02-07 13:28:24		142.0
2022-02-07 13:29:01		142.13999938964844
2022-02-07 13:29:40		142.08999633789062
2022-02-07 13:30:18		142.1699981689453
2022-02-07 13:30:56		142.13999938964844
2022-02-07 13:31:34		142.26499938964844
2022-02-07 13:32:12		142.1999969482422
2022-02-07 13:32:51		142.17999267578125
2022-02-07 13:33:31		142.2100067138672
2022-02-07 13:34:09		142.16000366210938
2022-02-07 13:34:47		142.12899780273438
2022-02-07 13:35:24		142.1300048828125
2022-02-07 13:36:01		142.2050018310547
2022-02-07 13:36:39		142.25450134277344
2022-02-07 13:37:22		142.3000030517578
2022-02-07 13:37:59		142.27999877929688
2022-02-07 13:38:41		142.28990173339844
2022-02-07 13:39:19		142.3699951171875
2022-02-07 13:39:58		142.30999755859375
2022-02-07 13:40:37		142.2949981689453
2022-02-07 13:41:16		142.3800048828125
2022-02-07 13:41:56		142.43499755859375
2022-02-07 13:42:36		142.42880249023438
2022-02-07 13:43:14		142.4499969482422
2022-02-07 13:43:52		142.4550018310547
2022-02-07 13:44:30		142.4199981689453
2022-02-07 13:45:08		142.38999938964844
2022-02-07 13:45:46		142.32269287109375
2022-02-07 13:46:24		142.28500366210938
2022-02-07 13:47:02		142.27000427246094
2022-02-07 13:47:43		142.1999969482422
2022-02-07 13:48:35		142.19000244140625
2022-02-07 13:49:12		142.17849731445312
2022-02-07 13:49:50		142.13999938964844
2022-02-07 13:50:28		142.04010009765625
2022-02-07 13:51:10		142.07000732421875
2022-02-07 13:51:48		142.1219940185547
2022-02-07 13:52:25		142.1300048828125
2022-02-07 13:53:03		142.14999389648438
2022-02-07 13:53:40		142.08999633789062
2022-02-07 13:54:18		142.10000610351562
2022-02-07 13:54:56		142.14999389648438
2022-02-07 13:55:34		142.15040588378906
2022-02-07 13:56:12		142.17999267578125
2022-02-07 13:56:49		142.1240997314453
2022-02-07 13:57:26		142.1699981689453
2022-02-07 13:58:04		142.1699981689453
2022-02-07 13:58:42		142.19850158691406
2022-02-07 13:59:20		142.27000427246094
2022-02-07 13:59:59		142.1999969482422
2022-02-07 14:00:38		142.14999389648438
2022-02-07 14:01:16		142.1999969482422
2022-02-07 14:01:53		142.19000244140625
2022-02-07 14:02:31		142.24000549316406
2022-02-07 14:03:09		142.1699981689453
2022-02-07 14:03:47		142.14999389648438
2022-02-07 14:04:24		142.16000366210938
2022-02-07 14:05:03		142.13999938964844
2022-02-07 14:05:43		142.13499450683594
2022-02-07 14:06:27		142.19000244140625
2022-02-07 14:07:05		142.1396942138672
2022-02-07 14:07:43		142.10659790039062
2022-02-07 14:08:20		142.07000732421875
2022-02-07 14:08:57		142.04400634765625
2022-02-07 14:09:35		142.04010009765625
2022-02-07 14:10:14		142.1199951171875
2022-02-07 14:10:53		142.1199951171875
2022-02-07 14:11:30		142.16000366210938
2022-02-07 14:12:08		142.2180938720703
2022-02-07 14:12:46		142.25
2022-02-07 14:13:25		142.25999450683594
2022-02-07 14:14:02		142.25999450683594
2022-02-07 14:14:41		142.22999572753906
2022-02-07 14:15:23		142.1999969482422
2022-02-07 14:16:02		142.1999969482422
2022-02-07 14:16:40		142.25999450683594
2022-02-07 14:17:18		142.44000244140625
2022-02-07 14:17:55		142.4600067138672
2022-02-07 14:18:32		142.44000244140625
2022-02-07 14:19:11		142.41000366210938
2022-02-07 14:19:49		142.4199981689453
2022-02-07 14:20:27		142.4199981689453
2022-02-07 14:21:05		142.52999877929688
2022-02-07 14:21:44		142.52000427246094
2022-02-07 14:22:21		142.52499389648438
2022-02-07 14:22:58		142.47999572753906
2022-02-07 14:23:34		142.4499969482422
2022-02-07 14:24:11		142.485107421875
2022-02-07 14:24:49		142.48880004882812
2022-02-07 14:25:27		142.52000427246094
2022-02-07 14:26:06		142.597900390625
2022-02-07 14:26:43		142.66000366210938
2022-02-07 14:27:26		142.66000366210938
2022-02-07 14:28:03		142.6750030517578
2022-02-07 14:28:42		142.69000244140625
2022-02-07 14:29:19		142.77000427246094
2022-02-07 14:29:58		142.77999877929688
2022-02-07 14:30:35		142.8350067138672
2022-02-07 14:31:12		142.77000427246094
2022-02-07 14:31:50		142.80740356445312
2022-02-07 14:32:28		142.81500244140625
2022-02-07 14:33:06		142.86000061035156
2022-02-07 14:33:43		142.8300018310547
2022-02-07 14:34:20		142.89999389648438
2022-02-07 14:34:58		142.88499450683594
2022-02-07 14:35:36		142.91000366210938
2022-02-07 14:36:15		142.9199981689453
2022-02-07 14:36:52		142.8800048828125
2022-02-07 14:37:30		142.88999938964844
2022-02-07 14:38:10		142.89999389648438
2022-02-07 14:38:48		142.80999755859375
2022-02-07 14:39:28		142.82659912109375
2022-02-07 14:40:06		142.77999877929688
2022-02-07 14:40:44		142.8000030517578
2022-02-07 14:41:21		142.8300018310547
2022-02-07 14:42:00		142.83999633789062
2022-02-07 14:42:39		142.9199981689453
2022-02-07 14:43:17		142.97000122070312
2022-02-07 14:43:54		142.88999938964844
2022-02-07 14:44:32		142.8791046142578
2022-02-07 14:45:09		142.91000366210938
2022-02-07 14:45:47		142.88499450683594
2022-02-07 14:46:24		142.843505859375
2022-02-07 14:47:02		142.9149932861328
2022-02-07 14:47:40		142.8719940185547
2022-02-07 14:48:17		142.83999633789062
2022-02-07 14:48:55		142.88999938964844
2022-02-07 14:49:32		142.83999633789062
2022-02-07 14:50:11		142.8300018310547
2022-02-07 14:50:49		142.86729431152344
2022-02-07 14:51:27		142.92999267578125
2022-02-07 14:52:05		142.9178924560547
2022-02-07 14:52:43		142.88999938964844
2022-02-07 14:53:20		142.91000366210938
2022-02-07 14:53:57		142.89999389648438
2022-02-07 14:54:34		142.86500549316406
2022-02-07 14:55:19		142.86500549316406
2022-02-07 14:55:56		142.96949768066406
2022-02-07 14:56:34		142.9600067138672
2022-02-07 14:57:12		142.94000244140625
2022-02-07 14:57:50		142.97959899902344
2022-02-07 14:58:27		142.94000244140625
2022-02-07 14:59:06		142.90499877929688
2022-02-07 14:59:43		142.88499450683594
2022-02-07 15:00:19		142.8300018310547
2022-02-07 15:00:57		142.75999450683594
2022-02-07 15:01:33		142.82000732421875
2022-02-07 15:02:11		142.85000610351562
2022-02-07 15:02:48		142.91000366210938
2022-02-07 15:03:26		142.9073944091797
2022-02-07 15:04:03		142.92930603027344
2022-02-07 15:04:41		142.94000244140625
2022-02-07 15:05:18		142.92010498046875
2022-02-07 15:05:55		143.02999877929688
2022-02-07 15:06:32		142.94500732421875
2022-02-07 15:07:09		142.97999572753906
2022-02-07 15:07:46		143.0
2022-02-07 15:08:23		142.89999389648438
2022-02-07 15:08:59		142.97000122070312
2022-02-07 15:09:35		143.0
2022-02-07 15:10:13		142.92999267578125
2022-02-07 15:10:53		142.99330139160156
2022-02-07 15:11:30		143.0800018310547
2022-02-07 15:12:06		143.10000610351562
2022-02-07 15:12:43		143.10000610351562
2022-02-07 15:13:20		143.0363006591797
2022-02-07 15:13:56		143.11000061035156
